workbook,worksheet,column_index,column_name,stored_value_types,nonempty_data_cells,unit_or_interpretation
data/Supplementary_Data.xlsx,Source_Small_Sample,1,Specimen ID,int,34,identifier
data/Supplementary_Data.xlsx,Source_Small_Sample,2,Al (%),float,34,% (as supplied)
data/Supplementary_Data.xlsx,Source_Small_Sample,3,Co (%),int,34,% (as supplied)
data/Supplementary_Data.xlsx,Source_Small_Sample,4,Cr (%),float,34,% (as supplied)
data/Supplementary_Data.xlsx,Source_Small_Sample,5,W (%),int,34,% (as supplied)
data/Supplementary_Data.xlsx,Source_Small_Sample,6,Ta (%),float,34,% (as supplied)
data/Supplementary_Data.xlsx,Source_Small_Sample,7,Re (%),int,34,% (as supplied)
data/Supplementary_Data.xlsx,Source_Small_Sample,8,Mo (%),int,34,% (as supplied)
data/Supplementary_Data.xlsx,Source_Small_Sample,9,Ti (%),float,34,% (as supplied)
data/Supplementary_Data.xlsx,Source_Small_Sample,10,Ni (%),float,34,% (as supplied)
data/Supplementary_Data.xlsx,Source_Small_Sample,11,Orientation,str,34,crystallographic label
data/Supplementary_Data.xlsx,Source_Small_Sample,12,Temperature (C),int,34,deg C
data/Supplementary_Data.xlsx,Source_Small_Sample,13,Max Stress (MPa),int,34,MPa
data/Supplementary_Data.xlsx,Source_Small_Sample,14,Stress Ratio,float/int,34,dimensionless
data/Supplementary_Data.xlsx,Source_Small_Sample,15,Rafting time (h),int,34,h
data/Supplementary_Data.xlsx,Source_Small_Sample,16,log10_Nf,float,34,log10(cycles)
data/Supplementary_Data.xlsx,Source_Small_Sample_Raw_AE,1,Specimen ID,int,28,identifier
data/Supplementary_Data.xlsx,Source_Small_Sample_Raw_AE,2,Al (%),float,28,% (as supplied)
data/Supplementary_Data.xlsx,Source_Small_Sample_Raw_AE,3,Co (%),int,28,% (as supplied)
data/Supplementary_Data.xlsx,Source_Small_Sample_Raw_AE,4,Cr (%),float,28,% (as supplied)
data/Supplementary_Data.xlsx,Source_Small_Sample_Raw_AE,5,W (%),int,28,% (as supplied)
data/Supplementary_Data.xlsx,Source_Small_Sample_Raw_AE,6,Ta (%),float,28,% (as supplied)
data/Supplementary_Data.xlsx,Source_Small_Sample_Raw_AE,7,Re (%),int,28,% (as supplied)
data/Supplementary_Data.xlsx,Source_Small_Sample_Raw_AE,8,Mo (%),int,28,% (as supplied)
data/Supplementary_Data.xlsx,Source_Small_Sample_Raw_AE,9,Ti (%),float,28,% (as supplied)
data/Supplementary_Data.xlsx,Source_Small_Sample_Raw_AE,10,Ni (%),float,28,% (as supplied)
data/Supplementary_Data.xlsx,Source_Small_Sample_Raw_AE,11,Orientation,str,28,crystallographic label
data/Supplementary_Data.xlsx,Source_Small_Sample_Raw_AE,12,Temperature (C),int,28,deg C
data/Supplementary_Data.xlsx,Source_Small_Sample_Raw_AE,13,Max Stress (MPa),int,28,MPa
data/Supplementary_Data.xlsx,Source_Small_Sample_Raw_AE,14,Stress Ratio,float/int,28,dimensionless
